
[2020-02-22 19:56:29,845][exts.essentials]:Switching to invisible mode

[2020-02-22 19:56:31,074][exts.essentials]:Closing connection to discord

[2020-02-22 19:56:31,240][discord.gateway]:Websocket closed with 1000 (), cannot reconnect.

[2020-02-22 19:56:31,241][discord.client]:Cleaning up tasks.

[2020-02-22 19:56:31,242][discord.client]:Cleaning up after 2 tasks.

[2020-02-22 19:56:31,243][discord.client]:All tasks finished cancelling.

[2020-02-22 19:56:31,244][discord.client]:Closing the event loop.

[2020-02-22 19:56:34,511][utilities]:Innitalized utilities logger

[2020-02-22 19:56:34,512][help]:Innitalized help logger

[2020-02-22 19:56:34,513][config]:Innitalized config logger

[2020-02-22 19:56:34,513][__main__]:Initalized __main__ logger

[2020-02-22 19:56:34,513][discord]:Initalized discord's logger

[2020-02-22 19:56:34,515][exts.slapping]:Innitalized exts.slapping logger

[2020-02-22 19:56:34,515][exts.essentials]:Innitalized exts.essentials logger

[2020-02-22 19:56:34,516][exts.development]:Innitalized exts.development logger

[2020-02-22 19:56:34,517][exts.embedding]:Innitalized exts.embedding logger

[2020-02-22 19:56:34,517][exts.role]:Innitalized exts.role logger

[2020-02-22 19:56:34,519][exts.poll]:Innitalized exts.poll logger

[2020-02-22 19:56:34,519][exts.time]:Innitalized exts.time logger

[2020-02-22 19:56:34,520][discord.client]:logging in using static token

[2020-02-22 19:56:35,491][discord.gateway]:Created websocket connected to wss://gateway.discord.gg?encoding=json&v=6&compress=zlib-stream

[2020-02-22 19:56:35,495][discord.gateway]:Shard ID None has sent the IDENTIFY payload.

[2020-02-22 19:56:36,033][discord.gateway]:Shard ID None has connected to Gateway: ["gateway-prd-main-j4wt",{"micros":43191,"calls":["discord-sessions-prd-1-12",{"micros":40597,"calls":["start_session",{"micros":34758,"calls":["api-prd-main-6mz2",{"micros":28531,"calls":["get_user",{"micros":2785},"add_authorized_ip",{"micros":2008},"get_guilds",{"micros":2423},"coros_wait",{"micros":1}]}]},"guilds_connect",{"micros":2,"calls":[]},"presence_connect",{"micros":1,"calls":[]}]}]}] (Session ID: fc26b4091fd862b564c173d5b0e00870).

[2020-02-22 19:56:38,040][exts.essentials]:Logged in as Test Bot#6948

[2020-02-22 19:57:28,856][exts.essentials]:Switching to invisible mode

[2020-02-22 19:57:29,303][exts.essentials]:Closing connection to discord

[2020-02-22 19:57:29,503][discord.gateway]:Websocket closed with 1000 (), cannot reconnect.

[2020-02-22 19:57:29,504][discord.client]:Cleaning up tasks.

[2020-02-22 19:57:29,505][discord.client]:Cleaning up after 2 tasks.

[2020-02-22 19:57:29,506][discord.client]:All tasks finished cancelling.

[2020-02-22 19:57:29,507][discord.client]:Closing the event loop.

[2020-02-22 19:57:32,007][utilities]:Innitalized utilities logger

[2020-02-22 19:57:32,009][help]:Innitalized help logger

[2020-02-22 19:57:32,009][config]:Innitalized config logger

[2020-02-22 19:57:32,009][__main__]:Initalized __main__ logger

[2020-02-22 19:57:32,010][discord]:Initalized discord's logger

[2020-02-22 19:57:32,011][exts.slapping]:Innitalized exts.slapping logger

